Tag,Alpha,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,0.007890625,34,20343,0.9016622280825027,0.9117647058823529,0.8915597502826526
Achievements,0.10914062499999999,89,20288,0.900643098926027,0.8764044943820225,0.9248817034700315
Addon,0.17875000000000005,2031,18346,0.9014060810301978,0.9162973904480551,0.8865147716123406
Advanced,0.15976562500000002,23,20354,0.8658035382426699,0.8695652173913043,0.8620418590940355
Animal,0.120390625,10,20367,0.8695512348406736,0.9,0.8391024696813473
Anime,0.010703125000000004,461,19916,0.9435964565273933,0.9175704989154013,0.9696224141393854
Arena,0.14500000000000002,52,20325,0.9008808780395496,0.8846153846153846,0.9171463714637146
Assets,0.15976562500000002,22,20355,0.9129530381188451,0.8636363636363636,0.9622697126013264
Audio,0.0325,887,19490,0.8479325679691201,0.7745208568207441,0.9213442791174962
Automation,0.058515625,31,20346,0.9082137092810507,0.9032258064516129,0.9132016121104886
Biomes,0.09402343749999999,62,20315,0.8974823942264178,0.8709677419354839,0.9239970465173517
Body,0.13023437500000004,318,20059,0.9870113511054339,0.9968553459119497,0.9771673562989182
Building,0.131640625,385,19992,0.8622198879551821,0.8571428571428571,0.867296918767507
Campaigns,0.011406250000000003,202,20175,0.8677877973670973,0.9504950495049505,0.7850805452292441
Cards,0.08066406250000001,73,20304,0.9049424770879886,0.8904109589041096,0.9194739952718676
Cartoon,0.12109375000000004,242,20135,0.8856406241342016,0.9132231404958677,0.8580581077725354
Characters,0.161875,219,20158,0.8559695755132626,0.9269406392694064,0.7849985117571188
Client-side,0.021953124999999997,982,19395,0.8314998669004179,0.7596741344195519,0.9033255993812839
Clothing,0.004937500000000001,501,19876,0.9624385260471209,0.9520958083832335,0.9727812437110083
Co-op,0.015625,102,20275,0.8698762118904282,0.8921568627450981,0.8475955610357583
Code Mods,0.051484375,53,20324,0.8928170245791758,0.8490566037735849,0.9365774453847667
Combat,0.083125,220,20157,0.9183887167552891,0.9045454545454545,0.9322319789651238
Contraptions,0.07834374999999999,17,20360,0.8890153703917716,0.8823529411764706,0.8956777996070727
Cosmetic,0.064140625,482,19895,0.8144385096445134,0.7406639004149378,0.8882131188740889
Customizable,0.09156249999999999,263,20114,0.9343357879100533,0.9163498098859315,0.9523217659341752
Decor,0.05500000000000001,176,20201,0.9694898654882071,0.9659090909090909,0.9730706400673234
Dependency,0.5710937499999997,19,20358,0.8849126943500809,0.7894736842105263,0.9803517044896355
Development Tools,0.044453124999999996,41,20336,0.9142899291896145,0.926829268292683,0.901750590086546
Dresses,0.15976562500000002,126,20251,0.9760395920091738,0.9841269841269841,0.9679521998913634
Enemies,0.012671875000000003,61,20316,0.8096638682585638,0.7540983606557377,0.86522937586139
Equipment,0.04234375,83,20294,0.8328053516915797,0.8072289156626506,0.8583817877205085
Events,0.06062500000000002,124,20253,0.9046154850814614,0.9354838709677419,0.873747099195181
Everyone,0.029687500000000006,895,19482,0.9511806629698005,0.924022346368715,0.9783389795708859
Exploration,0.010000000000000002,68,20309,0.8735300634607086,0.8676470588235294,0.8794130680978877
Fantasy,0.0325,46,20331,0.8627508217265132,0.8260869565217391,0.8994146869312872
Farming,0.071875,75,20302,0.9212353462713033,0.92,0.9224706925426066
Feminine,0.07222656250000002,499,19878,0.9804888477024478,0.9839679358717435,0.9770097595331523
Food,0.044804687499999996,112,20265,0.8721225018504811,0.8392857142857143,0.904959289415248
Fun,0.15906250000000005,1109,19268,0.9095530079914969,0.9603246167718665,0.8587813992111273
Furniture,0.05500000000000001,31,20346,0.836652524233978,0.8064516129032258,0.8668534355647302
Gameplay,0.13375000000000004,681,19696,0.8504838896304594,0.8252569750367107,0.875710804224208
Hairstyles,0.6944921875000001,204,20173,0.9818681153123521,0.9803921568627451,0.9833440737619591
Head Accessories,0.26875,84,20293,0.9775148244879186,0.9880952380952381,0.9669344108805992
HUDs,0.120390625,83,20294,0.8760450296306939,0.8313253012048193,0.9207647580565684
Items,0.01052734375,556,19821,0.8190324991406905,0.7841726618705036,0.8538923364108774
Improvements,1.298828125,5,20372,0.8294472805811899,1.0,0.6588945611623798
Language,0.0218828125,62,20315,0.8781541527395139,0.7903225806451613,0.9659857248338666
Level,0.038125000000000006,404,19973,0.8405391833430577,0.7128712871287128,0.9682070795574025
Libraries,0.049375,165,20212,0.837290178651746,0.7636363636363637,0.9109439936671284
Magic,0.056406250000000005,204,20173,0.9126530997071411,0.9607843137254902,0.864521885688792
Makeup,0.0159765625,31,20346,0.9836577214194436,1.0,0.9673154428388873
Map,0.19843750000000004,805,19572,0.8996710029412025,0.9354037267080745,0.8639382791743306
Masculine,0.1225,140,20237,0.9698547215496368,0.9857142857142858,0.9539951573849879
Medieval,0.006625000000000001,28,20349,0.8209801464445428,0.8214285714285714,0.820531721460514
Memes,0.09085937500000002,40,20337,0.8351674288243104,0.8,0.8703348576486207
Minigames,0.04375,71,20306,0.8886535999212055,0.8591549295774648,0.9181522702649463
Miscellaneous,0.013585937500000003,1418,18959,0.7752814495179301,0.7411847672778561,0.8093781317580041
Model,0.578125,784,19593,0.9006455476081108,0.9005102040816326,0.9007808911345889
Modern,0.14535156250000003,29,20348,0.848962534655613,0.8620689655172413,0.8358561037939847
Modpacks,0.048671875,1134,19243,0.9179157981449724,0.8597883597883598,0.976043236501585
Monsters,0.026875000000000003,137,20240,0.8684481477741554,0.8394160583941606,0.8974802371541502
Multiplayer,0.012531249999999997,475,19902,0.8190346381479777,0.6905263157894737,0.9475429605064818
NPC,0.1225,256,20121,0.8832374680060633,0.9296875,0.8367874360121267
Overrides,0.010000000000000002,24,20353,0.8982183216233479,0.875,0.9214366432466958
Pants,0.15976562500000002,50,20327,0.9701495547793575,0.98,0.960299109558715
Preset,3.671874999999998e-05,6,20371,0.800639798406231,0.6666666666666666,0.9346129301457955
Prop,0.7046874999999999,25,20352,0.9072287735849056,0.92,0.8944575471698113
PvP,0.053593749999999996,101,20276,0.8864535743375087,0.8613861386138614,0.911521010061156
Quality of Life,0.13937500000000003,105,20272,0.846387463825309,0.8476190476190476,0.8451558800315706
Quests,0.38125,58,20319,0.8711147711246989,0.9137931034482759,0.828436438801122
Realistic,0.083125,748,19629,0.8883103767398614,0.9518716577540107,0.824749095725712
Relaxing,0.10000000000000003,32,20345,0.9098465532071762,0.90625,0.9134431064143524
Roleplay,0.15625000000000006,751,19626,0.8856502414050874,0.9254327563249002,0.8458677264852746
Rooms,0.4374999999999999,104,20273,0.8875797290067502,0.8846153846153846,0.8905440733981157
Scenario,0.11125000000000002,103,20274,0.9191570628027097,0.883495145631068,0.9548189799743514
Scene,0.021250000000000005,565,19812,0.9348979969232913,0.9026548672566371,0.9671411265899454
Server-side,0.055,544,19833,0.8183173710037638,0.7444852941176471,0.8921494478898805
Shirts,0.010703125000000003,130,20247,0.9687117939599789,0.9692307692307692,0.9681928186891885
Shoes,0.0010000000000000009,45,20332,0.9726091328393118,0.9777777777777777,0.9674404879008459
Singleplayer,0.14500000000000002,983,19394,0.9287442047445535,0.9318413021363174,0.9256471073527895
Skins,0.027226562500000002,353,20024,0.8876632035891208,0.8130311614730878,0.9622952457051538
Skirts,0.006835937500000002,26,20351,0.9802958085597759,1.0,0.9605916171195519
Storage,0.05500000000000001,108,20269,0.9021384599360819,0.8888888888888888,0.9153880309832749
Suits,0.054296874999999994,216,20161,0.8958511298859,0.8425925925925926,0.9491096671792074
Tattoos,0.03953125000000002,46,20331,0.9796621351416663,0.9782608695652174,0.9810634007181152
Technology,0.12249999999999997,232,20145,0.8625109122653862,0.8060344827586207,0.9189873417721519
Textures,0.083828125,173,20204,0.8718444696465989,0.8786127167630058,0.865076222530192
Tools,0.049375,300,20077,0.8325500987863392,0.8166666666666667,0.8484335309060118
Tooltip,0.09648437500000001,147,20230,0.8991467175105337,0.8843537414965986,0.9139396935244686
Traditional,0.10773437500000002,36,20341,0.9224698064664143,0.9166666666666666,0.928272946266162
Traits,0.010000000000000002,34,20343,0.8901840783504081,0.9117647058823529,0.8686034508184634
Translation,9.999999999999999e-05,31,20346,0.8785526520232241,0.8064516129032258,0.9506536911432223
Tweaks,0.02124999999999999,493,19884,0.8622104555305151,0.8438133874239351,0.8806075236370952
UI,0.16328125000000004,204,20173,0.8448348258155193,0.8823529411764706,0.807316710454568
Utility,0.13937500000000003,287,20090,0.8504230960676954,0.8641114982578397,0.8367346938775511
Vehicle,0.021601562499999994,279,20098,0.9152260554109237,0.942652329749104,0.8877997810727436
Video,0.038125000000000006,377,20000,0.9342771220159152,0.8992042440318302,0.96935
Weapons,0.09156249999999999,1043,19334,0.8977740642592977,0.8734419942473634,0.922106134271232
World,0.5570312499999999,105,20272,0.8786552880820837,0.8857142857142857,0.8715962904498816
World Gen,0.08101562500000001,130,20247,0.8782370417649719,0.8384615384615385,0.9180125450684052
